,Fecha,Hora,Comuna,Accdtes.,Causas,Muertos,Graves,M/Grave,Leves,Ilesos,Urbano/Rural,Calleuno,Calledos,Frentenumero,Ruta,Ubicación km,Latitud,Longitud,Direccion
0,01/01/2010,2:54,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,0,URBANO,PEDRO PRADO,ORELLA,,,,-20.2212841,-70.1348904,"IQUIQUE, PEDRO PRADO, ORELLA"
1,01/01/2010,4:14,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,0,URBANO,AV. LA TIRANA,CALLE 6,,,,-20.2307033,-70.1356692,"IQUIQUE, AV. LA TIRANA, CALLE 6"
2,01/01/2010,10:50,ALTO HOSPICIO,Colisión,Conducción en estado de ebriedad,0,1,0,1,0,URBANO,LOS GUINDALES,LOS AROMOS,2490,,,-20.2652492,-70.1055102,"ALTO HOSPICIO, LOS GUINDALES, LOS AROMOS, 2490"
3,02/01/2010,21:39,IQUIQUE,Atropello,No respetar derecho preferente de paso a peatón,0,0,1,0,1,URBANO,JUAN MARTINEZ,SARGENTO ALDEA,,,,-20.2160713,-70.1451094,"IQUIQUE, JUAN MARTINEZ, SARGENTO ALDEA"
4,03/01/2010,11:30,PICA,Volcadura,Perdida control vehículo,0,0,0,0,1,RURAL,CAMINO PRIVADO MINERA COLLAHUASI,,24,,,-20.9814192,-68.6379674,"PICA, CAMINO PRIVADO MINERA COLLAHUASI, 24"
5,03/01/2010,16:50,IQUIQUE,Choque,No respetar derecho preferente de paso a peatón,0,0,0,0,1,URBANO,THOMPSON,OSCAR BONILLA,,,,-20.2154831,-70.1401029,"IQUIQUE, THOMPSON, OSCAR BONILLA"
6,03/01/2010,22:15,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,THOMPSON,VIVAR,,,,-20.2148742,-70.1485661,"IQUIQUE, THOMPSON, VIVAR"
7,04/01/2010,11:15,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,RAMIREZ,,1270,,,-20.2202073,-70.1494388,"IQUIQUE, RAMIREZ, 1270"
8,05/01/2010,22:30,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,RANCAGUA,CACHARPAYAS,,,,-20.2350388,-70.1325303,"IQUIQUE, RANCAGUA, CACHARPAYAS"
9,06/01/2010,1:20,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,RAMIREZ,,1162,,,-20.2191755,-70.1493946,"IQUIQUE, RAMIREZ, 1162"
10,06/01/2010,19:00,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,ERRAZURIS,THOMPSON,,,,-20.2152505,-70.1435156,"IQUIQUE, ERRAZURIS, THOMPSON"
